@relation NewRelation
@attribute class {Albania,'Antigua and Barbuda',Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Belarus,Belgium,Belize,'Bosnia and Herzegovina',Brazil,Bulgaria,'Cabo Verde',Canada,Chile,Colombia,'Costa Rica',Croatia,Cuba,Cyprus,'Czech Republic',Denmark,Dominica,Ecuador,'El Salvador',Estonia,Fiji,Finland,France,Georgia,Germany,Greece,Grenada,Guatemala,Guyana,Hungary,Iceland,Ireland,Israel,Italy,Jamaica,Japan,Kazakhstan,Kiribati,Kuwait,Kyrgyzstan,Latvia,Lithuania,Luxembourg,Macau,Maldives,Malta,Mauritius,Mexico,Mongolia,Montenegro,Netherlands,'New Zealand',Nicaragua,Norway,Oman,Panama,Paraguay,Philippines,Poland,Portugal,'Puerto Rico',Qatar,'Republic of Korea',Romania,'Russian Federation','Saint Kitts and Nevis','Saint Lucia','Saint Vincent and Grenadines','San Marino',Serbia,Seychelles,Singapore,Slovakia,Slovenia,'South Africa',Spain,'Sri Lanka',Suriname,Sweden,Switzerland,Thailand,'Trinidad and Tobago',Turkey,Turkmenistan,Ukraine,'United Arab Emirates','United Kingdom','United States',Uruguay,Uzbekistan}
@attribute suicidios numeric
@attribute 'taxa de suicidio' numeric
@data
Albania,21,1
Albania,16,1
Albania,14,1
Albania,1,1
Albania,9,1
Albania,1,1
Albania,6,1
Albania,4,1
Albania,1,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,2,1
Albania,17,1
Albania,1,1
Albania,14,1
Albania,4,1
Albania,8,1
Albania,3,1
Albania,5,1
Albania,5,1
Albania,4,1
Albania,0,0
Albania,0,0
Albania,2,1
Albania,18,1
Albania,15,1
Albania,6,1
Albania,12,1
Albania,7,1
Albania,5,1
Albania,2,0
Albania,1,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,12,1
Albania,9,1
Albania,5,1
Albania,7,1
Albania,7,1
Albania,4,1
Albania,2,0
Albania,1,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,0,0
Albania,18,1
Albania,7,1
Albania,1,1
Albania,9,1
Albania,10,1
Albania,10,1
Albania,7,1
Albania,7,1
Albania,2,1
Albania,1,0
Albania,1,0
Albania,0,0
Albania,2,1
Albania,11,1
Albania,2,1
Albania,6,1
Albania,9,1
Albania,6,1
Albania,6,1
Albania,4,1
Albania,2,0
Albania,1,0
Albania,1,0
Albania,0,0
Albania,13,1
Albania,9,1
Albania,2,1
Albania,13,1
Albania,11,1
Albania,1,1
Albania,14,1
Albania,7,1
Albania,8,1
Albania,6,1
Albania,2,1
Albania,2,0
Albania,2,1
Albania,17,1
Albania,14,1
Albania,16,1
Albania,2,1
Albania,10,1
Albania,12,1
Albania,9,1
Albania,3,1
Albania,1,0
Albania,2,0
Albania,1,0
Albania,36,1
Albania,33,1
Albania,3,1
Albania,30,1
Albania,21,1
Albania,12,1
Albania,16,1
Albania,2,1
Albania,7,1
Albania,6,1
Albania,4,1
Albania,0,0
Albania,3,1
Albania,27,1
Albania,32,1
Albania,26,1
Albania,29,1
Albania,9,1
Albania,10,1
Albania,6,1
Albania,9,1
Albania,2,0
Albania,1,0
Albania,0,0
Albania,3,1
Albania,24,1
Albania,4,1
Albania,31,1
Albania,19,1
Albania,14,1
Albania,19,1
Albania,13,1
Albania,6,1
Albania,5,1
Albania,1,0
Albania,0,0
Albania,17,1
Albania,10,1
Albania,2,1
Albania,1,1
Albania,6,1
Albania,5,1
Albania,5,1
Albania,3,1
Albania,4,1
Albania,1,0
Albania,0,0
Albania,0,0
Albania,22,1
Albania,34,1
Albania,11,1
Albania,2,1
Albania,10,1
Albania,9,1
Albania,12,1
Albania,1,1
Albania,6,1
Albania,6,1
Albania,4,1
Albania,2,0
Albania,4,1
Albania,23,1
Albania,35,1
Albania,13,1
Albania,15,1
Albania,14,1
Albania,15,1
Albania,7,1
Albania,1,1
Albania,4,1
Albania,1,0
Albania,1,0
Albania,6,1
Albania,16,1
Albania,28,1
Albania,15,1
Albania,14,1
Albania,9,1
Albania,9,1
Albania,9,1
Albania,13,1
Albania,1,1
Albania,4,1
Albania,0,0
Albania,4,1
Albania,39,1
Albania,16,1
Albania,20,1
Albania,19,1
Albania,3,1
Albania,11,1
Albania,10,1
Albania,17,1
Albania,3,1
Albania,3,1
Albania,1,0
Albania,0,0
Albania,0,0
Albania,0,0
